Sr. No.,Route No.,Route Order:,School_Code,School Name,Beneficiary,lat,lng
119,5,16,24240102404,Fadvel Dadra Falia ,43,20.742000579833984,73.172203063964844
120,5,17,24240102406,Fadvel Bedhiya Falia ,55,20.742700576782227,73.177001953125
121,5,18,24240107402,Siyada Prathmik Shala ,160,20.725900650024414,73.163902282714844
122,5,19,24240107403,Siyada Patel Falia,40,20.725799560546875,73.164703369140625
123,5,20,24240107301,Saravani Prathmik Shala ,173,20.735300064086914,73.220199584960937
124,5,21,24240107304,Saravani Dhagadi ,116,20.727199554443359,73.246902465820313
125,5,22,24240107302,Saravani Bid Falia ,40,20.729299545288086,73.233802795410156
126,5,23,24240107303,Saravani Vethiyavad ,38,20.736299514770508,73.232101440429687
127,5,24,24240100501,Ambach Prathmik Shala ,203,20.716800689697266,73.2113037109375
128,5,25,24240103501,Kakadvel Prathmik Shala ,165,20.709299087524414,73.250198364257813
129,5,26,24240108702,Velanpur Prathmik Shala ,196,20.704999923706055,73.2302017211914
130,5,27,24240103802,Kanbhai Jagan Falia ,113,20.71820068359375,73.181900024414063
131,5,28,24240103801,Kanbhai Desai Falia ,42,20.706399917602539,73.190200805664063
132,6,1,24240106809,Rumla Bardiparda Prathmik Shala,78,20.688499450683594,73.170196533203125
133,6,2,24240106806,Rumla Prathmik Shala ,169,20.679500579833984,73.174102783203125
134,6,3,24240106804,Rumla Kumbhar Falia,145,20.680000305175781,73.164199829101563
135,6,4,24240106807,Rumla Koliwad Prathmik Shala,76,20.680599212646484,73.148399353027344
136,6,5,24240106801,Rumla Chikarpada Prathmik Shala,43,20.671300888061523,73.146896362304688
137,6,6,24240106805,Rumla Ambapada Prathmik Shala,194,20.662799835205078,73.160896301269531
138,6,7,24240106803,Rumla Mangalpada Prathmik Shala,55,20.665700912475586,73.171501159667969
139,6,8,24240102902,Gholar Prathmik Shala ,120,20.703500747680664,73.154701232910156
140,6,9,24240102901,Gholar Mahakalpada Prathmik Shala,40,20.701099395751953,73.139801025390625
141,6,10,24240102903,Gholar Ranapda Prathmik Shala,65,20.693899154663086,73.150199890136719
142,6,11,24240100101,Achhavani Prathmik Shala,51,20.651800155639648,73.146499633789063
143,6,12,24240100103,Achhavani Upali Bahej Zari Prathmik Shala,33,20.652299880981445,73.157096862792969
144,6,13,24240100107,Achhavani Nichli Bahej Prathmik Shala,30,20.659299850463867,73.144401550292969
145,6,14,24240105201,Mogaravadi Prathmik Shala ,80,20.682100296020508,73.129898071289063
146,6,15,24240106905,Sadadvel Prathmik Shala ,65,20.763200759887695,73.147697448730469
147,6,16,24240106904,Sadadvel Sonariya Falia Prathmik Shala,85,20.771999359130859,73.172401428222656
148,6,17,24240106901,Sadadvel Desai Falia ,36,20.772899627685547,73.159698486328125
149,6,18,24240106902,Dadra Falia Sadadvel Prathmik Shala,22,20.780000686645508,73.141403198242187
150,6,19,24240106903,Sadadvel Kumbhar Falia Prathmik Shala,42,20.781900405883789,73.161003112792969
151,6,20,24240103101,Harangam Prathmik Shala ,157,20.791200637817383,73.151802062988281
152,6,21,24240103102,Harangam Sudhavadi Prathmik Shala,106,20.800899505615234,73.15789794921875
153,6,22,24240106303,Rankuva Sindur Falia Prathmik Shala,12,20.815000534057617,73.152496337890625
154,6,23,24240106301,Rankuva Kumar Shala,293,20.813400268554687,73.155899047851562
155,6,24,24240106304,Rankuva Patel Falia Prathmik Shala,24,20.816499710083008,73.153396606445313
156,6,25,24240106305,Rankuva Navanagar Prathmik Shala,45,20.808200836181641,73.158500671386719
157,6,26,24240108403,Vanzana Moti Vangarvadi Prathmik Shala,21,20.81719970703125,73.163398742675781
158,7,1,24240108003,Tejlav Prathmik Shala ,175,20.710899353027344,73.045097351074219
159,7,2,24240108002,Tejlav Vethiyavad,40,20.708799362182617,73.04229736328125
160,7,3,24240100703,Chimla Prathmik Shala ,145,20.72599983215332,73.035102844238281
161,7,4,24240100704,Balvada Prathmik Shala ,50,20.711700439453125,73.022903442382813
162,7,5,24240100701,Balvada Navanagar ,30,20.721200942993164,73.02020263671875
163,7,6,24240104702,Majigam Prathmik Shala ,160,20.752700805664063,73.050102233886719
164,7,7,24240107101,Samroli Prathmik Shala ,163,20.761499404907227,73.053398132324219
165,7,8,24240104901,Malvada Prathmik Shala ,17,20.738000869750977,73.044403076171875
166,7,9,24240104701,Majigam Dehra Falia ,29,20.746799468994141,73.039299011230469
167,7,10,24240102701,Ghekti Prathmik Shala ,172,20.755899429321289,73.000396728515625
168,7,11,24240108501,Vankal Mokha Falia ,42,20.75160026550293,73.025100708007813
169,7,12,24240107103,Samroli Ghod Falia ,60,20.770599365234375,73.0531997680664
170,7,13,24240107102,Samrolli Nava Falia ,14,20.76140022277832,73.045402526855469
171,7,14,24240103202,Hond Talavpad,64,20.737300872802734,73.035797119140625
172,7,15,24240103201,Hond Prathmik Shala ,101,20.734500885009766,73.029998779296875
173,7,16,24240108502,Vankal Vajifa Falia ,15,20.746299743652344,73.006103515625
174,7,17,24240108503,Vankal Vania Falia ,15,20.756000518798828,73.009902954101563
175,7,18,24240108504,Vankal Prathmik Shala ,170,20.75779914855957,73.0197982788086
176,7,19,24240100303,Alipore Prathmik Shala ,112,20.79840087890625,73.069503784179687
177,7,20,24240100302,Alipore Dungri Falia ,64,20.790599822998047,73.087799072265625
178,7,21,24240100301,Alipore Majived ,123,20.784700393676758,73.073501586914062
179,7,22,24240100304,Alipore Khambhiya ,60,20.791299819946289,73.062301635742188
180,7,23,24240102001,Degam Kumar Shala ,112,20.801000595092773,73.08489990234375
181,7,24,24240102003,Degam Adiyavad ,22,20.820999145507813,73.093803405761719
182,7,25,24240102004,Degam Dhodiyavad ,34,20.810800552368164,73.095001220703125
183,7,26,24240102002,Degam Kanya Shala ,109,20.800600051879883,73.084999084472656
184,8,1,24240105002,Manekpore Navanager ,79,20.793500900268555,73.130302429199219
185,8,2,24240105003,Manekpore Dhodiyawad ,29,20.788000106811523,73.1322021484375
186,8,3,24240106601,Rethvaniya Prathmik Shala ,145,20.8075008392334,73.123397827148438
187,8,4,24240105001,Manekpore Prathmik Shala ,138,20.792800903320312,73.130401611328125
188,8,5,24240109201,Undhval Varg Shala ,27,20.813199996948242,73.13189697265625
189,8,6,24240108404,Vanzana Naikywad Prathmik Shala,82,20.832000732421875,73.137199401855469
190,8,7,24240100804,Bamanvel Prathmik Shala ,300,20.779600143432617,73.106903076171875
191,8,8,24240100802,Bamanvel Patel Falia,19,20.781299591064453,73.121101379394531
192,8,9,24240100801,Bamanvel Bavi Falia,106,20.783300399780273,73.126800537109375
193,8,10,24240100803,Bamanvel Mahyavanshi,19,20.785100936889648,73.1156005859375
194,8,11,24240101402,Chasa Prathmik Shala ,183,20.833599090576172,73.108802795410156
195,8,12,24240107601,Sunthvad Prathmik Shala ,83,20.829200744628906,73.092399597167969
196,8,13,24240107602,Sunthvad Patel Falia ,73,20.825700759887695,73.075798034667969
197,8,14,24240101401,Chasa Dhodiyavad,20,20.833599090576172,73.108901977539062
198,8,15,24240102301,Donja Prathmik Shala ,97,20.783899307250977,73.183403015136719
199,8,16,24240104504,Kukeri Prathmik Shala ,47,20.809999465942383,73.183296203613281
200,8,17,24240104501,Kukeri Madha Talav ,8,20.809099197387695,73.19219970703125
201,8,18,24240104503,Kukeri Kolivad ,14,20.808300018310547,73.186599731445312
202,8,19,24240104502,Kukeri Torvan Falia Prathmik Shala ,134,20.792200088500977,73.1874008178711
203,8,20,24240107702,Surkhai Prathmik Shala ,63,20.809900283813477,73.181900024414063
204,8,21,24240107701,Surkhai Ramji Falia ,34,20.811199188232422,73.180900573730469
205,8,22,24240104101,Kharoli Prathmik Shala ,136,20.843299865722656,73.219398498535156
206,8,23,24240104102,Kharoli Baroliya ,105,20.845699310302734,73.2354965209961
207,8,24,24240104103,Kharoli Dadara Falia ,46,20.837499618530273,73.226699829101563
208,8,25,24240105102,Minkutch Prathmik Shala,130,20.85059928894043,73.102699279785156
209,8,26,24240105101,Minkutch Dhodiyawad Prathmik Shala,38,20.84950065612793,73.103401184082031
210,8,27,24240101002,Baroliya Mukhya Shala ,117,20.840599060058594,73.085700988769531
211,8,28,24240101001,Baroliya Vadi Falia Prathmik Shala,18,20.837600708007813,73.085403442382813
212,9,1,24240108401,Vanzana Prathmik Shala ,142,20.837200164794922,73.138999938964844
213,9,2,24240108407,Vanzana Chhabdi Prathmik Shala,100,20.819299697875977,73.160797119140625
214,9,3,24240108402,Vanzana Bhut Falia Prathmik Shala,145,20.817399978637695,73.163200378417969
215,9,4,24240108406,Vanzana Kumar Shala,88,20.830499649047852,73.157600402832031
216,9,5,24240106502,Ranveri Khurd Prathmik Shala ,177,20.837499618530273,73.192298889160156
217,9,6,24240106501,Ranveri Khurd Zadi Falia ,35,20.847600936889648,73.198402404785156
218,9,7,24240106503,Ranveri Khurd Mahadev Falia ,40,20.855199813842773,73.198600769042969
219,9,8,0,Ranveri Kalla Prathmik Shala ,37,20.84980011,73.17860199
220,9,9,24240106403,Ranveri Kalla Nava Falia ,20,20.842899322509766,73.185600280761719
221,9,10,24240106401,Ranveri Kalla Naher Falia ,192,20.849800109863281,73.1686019897461
222,9,11,24240101201,Bodvank Mukhya Shala ,89,20.869600296020508,73.155403137207031
223,9,12,24240101202,Bodvank Dadra Falia Varg Shala,20,20.867000579833984,73.156700134277344
224,9,13,24240101203,Bodvank Chamar Falia Prathmik Shala,15,20.869499206542969,73.151199340820313
225,9,14,24240101801,Chitali Prathmik Shala ,41,20.886199951171875,73.151802062988281
226,9,15,24240103401,Jogvad Prathmik Shala ,43,20.88129997253418,73.166397094726563
227,9,16,24240103403,Jogvad Tadiya Falia Prathmik Shala,38,20.887599945068359,73.171501159667969
228,9,17,24240103402,Jogvad Ramnagar Prathmik Shala,29,20.887599945068359,73.180702209472656
229,9,18,24240103901,Kangvai Prathmik Shala ,161,20.868999481201172,73.176399230957031
230,9,19,24240103904,Kangvai Daliya Falia ,13,20.856399536132813,73.176498413085937
231,9,20,24240103902,Kangvai Kakat Falia ,50,20.876199722290039,73.1886978149414
232,9,21,24240103903,Kangvai Khakhari Falia ,41,20.858499526977539,73.189498901367188
233,9,22,24240105602,Nogama Pahad Falia Prathmik Shala,29,20.859800338745117,73.115997314453125
234,9,23,24240107201,Saraiya Prathmik Shala ,140,20.881399154663086,73.1353988647461
235,9,24,24240107901,Tankal Patel Falia Prathmik Shala,42,20.849100112915039,73.136802673339844
236,9,25,24240107902,Sharsvati Mandir Tankal ,108,20.857900619506836,73.129600524902344
237,9,26,24240202802,Gandeva Kevadiya Prathmik Shala,21,20.863800048828125,73.080596923828125
238,9,27,24240202807,Gandeva Zadi Falia Prathmik Shala,22,20.872200012207031,73.10150146484375
239,9,28,24240202805,Gandeva Patel Falia Prathmik Shala,36,20.864700317382813,73.102401733398437
240,10,1,24240200201,Ajari - 1 Prathmik Shala,50,20.8262996673584,72.9894027709961
241,10,2,24240200202,Ajari - 2 Prathmik Shala,20,20.820400238037109,72.9845962524414
242,10,3,24240207701,Taliyara Prathmik Shala,145,20.809600830078125,72.974800109863281
243,10,4,24240201902,Devdha Prathmik Shala,111,20.796199798583984,72.9719009399414
244,10,5,24240207003,Sari Station Kanya Shala -2,27,20.813899993896484,72.9542007446289
245,10,6,24240207004,Sari Station Kumar Shala,150,20.812000274658203,72.954803466796875
246,10,7,24240201101,Bhensla Prathmik Shala,17,20.800699234008789,72.9583969116211
247,10,8,24240208901,Vasan Prathmik Shala,35,20.815700531005859,72.944503784179688
248,10,9,24240204701,Kotha Prathamik shala,80,20.815399169921875,72.926597595214844
249,10,10,24240205601,Machiyavasan Prathmik Shala,98,20.80620002746582,72.913200378417969
250,10,11,24240200601,Endhal Prathmik Shala,208,20.845199584960937,73.058601379394531
251,10,12,24240206801,Rahej Prathmik Shala,53,20.820999145507813,73.00579833984375
252,10,13,24240206701,Pipaldhara Prathmik Shala,47,20.8523006439209,73.040298461914062
253,10,14,24240202402,Dhanori Prathmik Shala,107,20.837699890136719,73.022499084472656
254,10,15,24240201401,Changa Prathmik Shala,19,20.820600509643555,73.0145034790039
255,10,16,24240201002,Ghol Prathmik Shala,63,20.768499374389648,72.951400756835938
256,10,17,24240205901,Morali Prathmik Shala,119,20.765399932861328,72.935997009277344
257,10,18,24240201001,Bhatha Prathmik Shala,50,20.784200668334961,72.954902648925781
258,10,19,24240207101,Sari Khurd Prathmik Shala,157,20.798900604248047,72.948898315429688
259,10,20,24240207001,Saribujarang ( Luswada ) Prathmik Shala,38,20.798900604248047,72.942398071289063
260,10,21,24240203501,Kalmatha Prathmik Shala,61,20.783700942993164,72.942802429199219
261,10,22,24240201501,Chhapar Prathmik Shala,52,20.79210090637207,72.935302734375
262,10,23,24240205502,Medhar ( Koriwad ) Prathmik Shala,10,20.764799118041992,72.874801635742188
263,10,24,24240205503,Medhar Prathmik Shala,74,20.758800506591797,72.874702453613281
264,10,25,24240205501,Bavari Prathmik Shala,19,20.751699447631836,72.871498107910156
265,10,26,24240200902,Bhat Prathmik Shala,234,20.771799087524414,72.850997924804687
266,11,1,24240207802,Talod Prathmik Shala,280,20.780599594116211,72.967201232910156
267,11,2,24240201202,Bilimora Kumar Shala,210,20.770500183105469,72.962600708007812
268,11,3,24240201201,Bilimora Kanya Shala,145,20.769399642944336,72.9614028930664
269,11,4,24240201205,Machhiwad Prathmik Shala,24,20.766700744628906,72.9552001953125
270,11,5,24240201204,Marathi Prathmik Shala,50,20.770500183105469,72.958900451660156
271,11,6,24240202902,Gandevi Kumar Shala,125,20.815200805664063,72.995697021484375
272,11,7,24240202909,Gandevi Kanya Shala,206,20.810199737548828,72.995597839355469
273,11,8,24240202908,Sir C. J. New High School,102,20.810100555419922,72.994300842285156
274,11,9,24240202904,Telugu Prathmik Shala,47,20.809099197387695,73.004402160644531
275,11,10,24240208002,Kothi Falia Prathmik Shala,41,20.805500030517578,72.994300842285156
276,11,11,24240208001,Kaliyari Prathmik Shala,6,20.801700592041016,72.983802795410156
277,11,12,24240208003,Torangam Prathmik Shala,34,20.809499740600586,72.983596801757813
278,11,13,24240208601,Valoti Prathmik Shala,62,20.797500610351563,72.98480224609375
279,11,14,24240201209,M. V. Mistry Prathmik Shala,94,20.770099639892578,72.973297119140625
280,11,15,24240201210,Somnath Prathmik Shala,95,20.76569938659668,72.972198486328125
281,11,16,24240201801,Desra Prathmik Shala,125,20.757900238037109,72.9739990234375
282,11,17,24240201211,Aariyamora Prathmik Shala,123,20.763599395751953,72.968803405761719
283,11,18,24240203101,Goyandi - Bhatha Prathmik Shala,108,20.748800277709961,72.954696655273437
284,11,19,24240204101,Khaparvada Prathmik Shala,198,20.739299774169922,72.960502624511719
285,11,20,24240208701,Vangam Prathmik Shala,139,20.738300323486328,72.946296691894531
286,11,21,24240201301,Bigari Prathmik Shala,257,20.746400833129883,72.930496215820313
287,11,22,24240206603,Sui Talavadi Prathmik Shala,22,20.742300033569336,72.926803588867188
288,11,23,24240206601,Maskra Prathmik Shala,27,20.747499465942383,72.9186019897461
289,11,24,24240206602,Ponsari Prathmik Shala,71,20.740800857543945,72.9176025390625
290,11,25,24240201601,Dadhora Prathmik Shala,22,20.744499206542969,72.942398071289063
291,11,26,24240202501,Dholai Prathmik Shala,119,20.73590087890625,72.89630126953125
292,11,27,24240208501,Buniyadi Mishra Shala Vaghrech,150,20.756599426269531,72.960700988769531
293,11,28,24240202002,Devsar - 2 Prathmik Shala,202,20.784599304199219,72.980499267578125
294,11,29,24240202001,Devsar - 1 Prathmik Shala,167,20.77910041809082,72.977096557617188
295,12,1,24240208301,Vadsagar Prathmik Shala,112,20.819400787353516,73.013496398925781
296,12,2,24240204301,Khergam-1 Prathmik Shala,30,20.814699172973633,73.015098571777344
297,12,3,24240204302,Khergam-2 Prathmik Shala,145,20.8125,73.012603759765625
298,12,4,24240204303,Sugar Factory Prathmik Shala,63,20.811199188232422,73.009902954101563
299,12,5,24240202601,Duvada Prathmik Shala,152,20.826400756835938,73.055900573730469
300,12,6,24240200602,Endhal Mana Falia Prathmik Shala,10,20.838499069213867,73.073898315429687
301,12,7,24240200603,Endhal Vanzari Falia Prathmik Shala,45,20.824300765991211,73.067802429199219
302,12,8,24240203601,Kalvach Prathmik Shala,129,20.805400848388672,73.052497863769531
303,12,9,24240201701,Desad Vav Falia Prathmik Shala,30,20.803499221801758,73.042098999023438
304,12,10,24240201702,Desad Prathmik Shala,57,20.805099487304687,73.017402648925781
305,12,11,24240202901,Kasbawadi Prathmik Shala,126,20.798999786376953,73.009101867675781
306,12,12,24240208603,Karanjdevi Prathmik Shala,68,20.792600631713867,73.004402160644531
307,12,13,24240206402,Pati Prathmik Shala,75,20.793899536132812,73.016197204589844
308,12,14,24240206401,Khokhar Prathmik Shala,48,20.7903995513916,73.025802612304687
309,12,15,24240200401,Ambheta Prathmik Shala,235,20.784999847412109,73.043701171875
310,12,16,24240203901,Kesli Prathmik Shala,123,20.78230094909668,73.019401550292969
311,12,17,24240206101,Nadarkha Prathmik Shala,107,20.769800186157227,73.0165023803711
312,12,18,24240206102,Nadarkha Untadi Falia Prathmik Shala,10,20.768800735473633,73.024696350097656
313,12,19,24240200103,Antaliya Prathmik Shala,390,20.766500473022461,72.990997314453125
